,Organism,plasmidAccId,plasmidLength,chromosomeAccId,chromosomeLength,plasmidGC,plasmidGC,chromosmeGC
218,Aeromonas hydrophila subsp. hydrophila (g-proteobacteria),NZ_CP028564.1,2811,NZ_CP028568.1,5022867,56.1,56.1,61.08
219,Aeromonas hydrophila subsp. hydrophila (g-proteobacteria),NZ_CP028565.1,32665,NZ_CP028568.1,5022867,59.63,59.63,61.08
220,Aeromonas hydrophila subsp. hydrophila (g-proteobacteria),NZ_CP028566.1,38976,NZ_CP028568.1,5022867,58.19,58.19,61.08
221,Aeromonas hydrophila subsp. hydrophila (g-proteobacteria),NZ_CP028567.1,241090,NZ_CP028568.1,5022867,55.44,55.44,61.08
222,Streptomyces coelicolor A3(2) (high GC Gram+),NC_003903.1,356023,NC_003888.3,8667507,69.06,69.06,72.12
223,Streptomyces coelicolor A3(2) (high GC Gram+),NC_003904.1,31317,NC_003888.3,8667507,72.12,72.12,72.12
224,Burkholderia pyrrocinia (b-proteobacteria),NZ_CP011506.1,113484,NZ_CP011503.1,3584103,62.32,62.32,66.78
225,Staphylococcus aureus (firmicutes),NZ_CP010891.1,27273,NZ_CP010890.1,2783537,27.17,27.17,32.9
226,Salimicrobium jeotgali (firmicutes),NZ_CP011363.1,25530,NZ_CP011361.2,2698725,42.01,42.01,46.51
227,Salimicrobium jeotgali (firmicutes),NZ_CP011362.1,52672,NZ_CP011361.2,2698725,38.53,38.53,46.51
228,Tatumella citrea (enterobacteria),NZ_CP015580.1,3786,NZ_CP015579.1,4487466,32.57,32.57,49.72
229,Thalassospira sp. CSC3H3 (a-proteobacteria),NZ_CP024200.1,908044,NZ_CP024199.1,4530245,54.15,54.15,54.72
230,Pseudomonas stutzeri (g-proteobacteria),NZ_CP007510.1,107733,NZ_CP007509.1,4725662,58.14,58.14,62.35
231,Thioalkalivibrio sp. K90mix (g-proteobacteria),NC_013930.1,240256,NC_013889.1,2744800,61.74,61.74,65.87
232,Acinetobacter pittii (g-proteobacteria),NZ_CP027251.2,77340,NZ_CP027254.2,3845988,37.9,37.9,38.87
233,Acinetobacter pittii (g-proteobacteria),NZ_CP027252.2,9132,NZ_CP027254.2,3845988,34.79,34.79,38.87
234,Acinetobacter pittii (g-proteobacteria),NZ_CP027253.1,24018,NZ_CP027254.2,3845988,36.97,36.97,38.87
235,Ruegeria sp. AD91A (a-proteobacteria),NZ_CP031947.1,743267,NZ_CP031946.1,3662296,56.72,56.72,57.05
236,Mesorhizobium loti MAFF303099 (a-proteobacteria),NC_002679.1,351911,NC_002678.2,7036071,59.29,59.29,62.75
237,Mesorhizobium loti MAFF303099 (a-proteobacteria),NC_002682.1,208315,NC_002678.2,7036071,59.88,59.88,62.75
238,Zymomonas mobilis subsp. mobilis ATCC 10988 (a-proteobacteria),NC_017180.1,32479,NC_017262.1,2021773,43.46,43.46,46.22
239,Zymomonas mobilis subsp. mobilis ATCC 10988 (a-proteobacteria),NC_017183.1,32283,NC_017262.1,2021773,45.41,45.41,46.22
240,Zymomonas mobilis subsp. mobilis ATCC 10988 (a-proteobacteria),NC_017181.1,31692,NC_017262.1,2021773,43.23,43.23,46.22
241,Zymomonas mobilis subsp. mobilis ATCC 10988 (a-proteobacteria),NC_017184.1,18461,NC_017262.1,2021773,41.79,41.79,46.22
242,Zymomonas mobilis subsp. mobilis ATCC 10988 (a-proteobacteria),NC_017182.1,4023,NC_017262.1,2021773,37.63,37.63,46.22
243,Zymomonas mobilis subsp. mobilis ATCC 10988 (a-proteobacteria),NC_017185.1,2750,NC_017262.1,2021773,41.31,41.31,46.22
244,Aminobacter sp. MSH1 (a-proteobacteria),NZ_CP028967.1,40559,NZ_CP028968.1,5301518,64.45,64.45,63.19
245,Aminobacter sp. MSH1 (a-proteobacteria),NZ_CP028966.1,53893,NZ_CP028968.1,5301518,55.99,55.99,63.19
246,Aminobacter sp. MSH1 (a-proteobacteria),NZ_CP028969.1,367423,NZ_CP028968.1,5301518,63.06,63.06,63.19
247,Aminobacter sp. MSH1 (a-proteobacteria),NZ_CP028970.1,365485,NZ_CP028968.1,5301518,60.15,60.15,63.19
248,Aminobacter sp. MSH1 (a-proteobacteria),NZ_CP028971.1,97029,NZ_CP028968.1,5301518,60.51,60.51,63.19
249,Aminobacter sp. MSH1 (a-proteobacteria),NZ_CP028972.1,64122,NZ_CP028968.1,5301518,61.94,61.94,63.19
250,Aminobacter sp. MSH1 (a-proteobacteria),NZ_CP028973.1,31577,NZ_CP028968.1,5301518,62.87,62.87,63.19
251,Acetobacter pasteurianus IFO 3283-01 (a-proteobacteria),NC_013210.1,191799,NC_013209.1,2907495,53.36,53.36,53.04
252,Acetobacter pasteurianus IFO 3283-01 (a-proteobacteria),NC_013211.1,182940,NC_013209.1,2907495,53.5,53.5,53.04
253,Acetobacter pasteurianus IFO 3283-01 (a-proteobacteria),NC_013212.1,49961,NC_013209.1,2907495,53.88,53.88,53.04
254,Acetobacter pasteurianus IFO 3283-01 (a-proteobacteria),NC_013213.1,3204,NC_013209.1,2907495,53.75,53.75,53.04
255,Acetobacter pasteurianus IFO 3283-01 (a-proteobacteria),NC_013214.1,3035,NC_013209.1,2907495,55.78,55.78,53.04
256,Acetobacter pasteurianus IFO 3283-01 (a-proteobacteria),NC_013215.1,1815,NC_013209.1,2907495,58.57,58.57,53.04
257,Komagataeibacter nataicola (a-proteobacteria),NZ_CP019876.1,102282,NZ_CP019875.1,3485191,40.67,40.67,62.41
258,Komagataeibacter nataicola (a-proteobacteria),NZ_CP019877.1,38682,NZ_CP019875.1,3485191,57.27,57.27,62.41
259,Komagataeibacter nataicola (a-proteobacteria),NZ_CP019878.1,37912,NZ_CP019875.1,3485191,57.15,57.15,62.41
260,Komagataeibacter nataicola (a-proteobacteria),NZ_CP019879.1,30554,NZ_CP019875.1,3485191,58.94,58.94,62.41
261,Komagataeibacter nataicola (a-proteobacteria),NZ_CP019880.1,39914,NZ_CP019875.1,3485191,48.58,48.58,62.41
262,Komagataeibacter nataicola (a-proteobacteria),NZ_CP019881.1,25766,NZ_CP019875.1,3485191,55.5,55.5,62.41
263,Chlamydia psittaci (chlamydias),NZ_CP024454.1,7553,NZ_CP024453.1,1166857,32.89,32.89,39.11
264,Methylophaga frappieri (g-proteobacteria),NC_017858.1,47825,NC_017856.1,2697465,54.6,54.6,47.8
265,Lactobacillus sp. CBA3606 (firmicutes),NZ_CP027195.1,51446,NZ_CP027194.1,2449069,39.47,39.47,43.3
266,Lactobacillus sp. CBA3606 (firmicutes),NZ_CP027196.1,42162,NZ_CP027194.1,2449069,40.05,40.05,43.3
267,Lactobacillus sp. CBA3606 (firmicutes),NZ_CP027197.1,17059,NZ_CP027194.1,2449069,40.57,40.57,43.3
268,Escherichia coli (E. coli),NZ_CP023143.1,228947,NZ_CP023142.1,5292297,46.09,46.09,50.59
269,Escherichia coli (E. coli),NZ_CP023144.1,103234,NZ_CP023142.1,5292297,53.19,53.19,50.59
270,Escherichia coli (E. coli),NZ_CP023145.1,87173,NZ_CP023142.1,5292297,50.97,50.97,50.59
271,Escherichia coli PCN061 (E. coli),NZ_CP006637.1,2014,NZ_CP006636.1,4603777,49.6,49.6,50.8
272,Escherichia coli PCN061 (E. coli),NZ_CP006638.1,5754,NZ_CP006636.1,4603777,50.52,50.52,50.8
273,Escherichia coli PCN061 (E. coli),NZ_CP006639.1,6222,NZ_CP006636.1,4603777,52.48,52.48,50.8
274,Escherichia coli PCN061 (E. coli),NZ_CP006640.1,34692,NZ_CP006636.1,4603777,48.55,48.55,50.8
275,Escherichia coli PCN061 (E. coli),NZ_CP006641.1,103644,NZ_CP006636.1,4603777,50.94,50.94,50.8
276,Escherichia coli PCN061 (E. coli),NZ_CP006642.1,145722,NZ_CP006636.1,4603777,51.02,51.02,50.8
277,Pseudomonas aeruginosa (g-proteobacteria),NZ_CP015000.1,49021,NZ_CP014999.1,7018690,58.9,58.9,65.97
278,Salmonella enterica subsp. enterica serovar Heidelberg (enterobacteria),NZ_CP016570.1,2246,NZ_CP016569.1,4751746,54.45,54.45,52.19
279,Salmonella enterica subsp. enterica serovar Heidelberg (enterobacteria),NZ_CP016571.1,37697,NZ_CP016569.1,4751746,41.18,41.18,52.19
280,Salmonella enterica subsp. enterica serovar Heidelberg (enterobacteria),NZ_CP016572.1,98999,NZ_CP016569.1,4751746,49.9,49.9,52.19
281,Salmonella enterica (enterobacteria),NZ_CP026053.1,47793,NZ_CP026052.1,4679420,51.98,51.98,52.17
282,Salmonella enterica (enterobacteria),NZ_CP026054.1,59363,NZ_CP026052.1,4679420,51.96,51.96,52.17
283,Mycobacterium marseillense (high GC Gram+),NZ_CP023148.1,19605,NZ_CP023147.1,5266037,64.34,64.34,67.85
284,Rhizobium leguminosarum bv. trifolii WSM1325 (a-proteobacteria),NC_012848.1,828924,NC_012850.1,4767043,60.37,60.37,61.09
285,Rhizobium leguminosarum bv. trifolii WSM1325 (a-proteobacteria),NC_012858.1,660973,NC_012850.1,4767043,60.82,60.82,61.09
286,Rhizobium leguminosarum bv. trifolii WSM1325 (a-proteobacteria),NC_012853.1,516088,NC_012850.1,4767043,58.79,58.79,61.09
287,Rhizobium leguminosarum bv. trifolii WSM1325 (a-proteobacteria),NC_012852.1,350312,NC_012850.1,4767043,60.56,60.56,61.09
288,Rhizobium leguminosarum bv. trifolii WSM1325 (a-proteobacteria),NC_012854.1,294782,NC_012850.1,4767043,60.37,60.37,61.09
289,Sphingobium herbicidovorans (a-proteobacteria),NZ_CP020542.1,9968,NZ_CP020538.1,2919834,59.86,59.86,62.46
290,Sphingobium herbicidovorans (a-proteobacteria),NZ_CP020539.1,959196,NZ_CP020538.1,2919834,63.01,63.01,62.46
291,Sphingobium herbicidovorans (a-proteobacteria),NZ_CP020540.1,312167,NZ_CP020538.1,2919834,60.78,60.78,62.46
292,Sphingobium herbicidovorans (a-proteobacteria),NZ_CP020541.1,39633,NZ_CP020538.1,2919834,63.49,63.49,62.46
293,Escherichia coli (E. coli),NZ_CP010317.1,106397,NZ_CP010315.1,5017219,50.7,50.7,50.79
294,Escherichia coli (E. coli),NZ_CP010318.1,4599,NZ_CP010315.1,5017219,50.45,50.45,50.79
295,Escherichia coli (E. coli),NZ_CP010316.1,144859,NZ_CP010315.1,5017219,50.43,50.43,50.79
296,Escherichia coli (E. coli),NZ_CP012500.1,225292,NZ_CP015228.1,5286558,46.29,46.29,50.68
297,Staphylococcus aureus (firmicutes),NZ_CP029081.1,27246,NZ_CP029082.1,2911287,27.2,27.2,32.92
298,Lactobacillus salivarius (firmicutes),NZ_CP020859.1,264403,NZ_CP020858.1,1893327,31.8,31.8,33.4
299,Lactobacillus salivarius (firmicutes),NZ_CP020860.1,19851,NZ_CP020858.1,1893327,33.81,33.81,33.4
300,Chlamydia trachomatis L1/224 (chlamydias),NC_020952.1,7500,NC_020973.1,1038819,36.23,36.23,41.33
301,Staphylococcus aureus (firmicutes),NZ_CP024999.1,20730,NZ_CP024998.1,2763876,28.35,28.35,32.79
302,Mycetocola sp. 449 (high GC Gram+),NZ_CP026950.1,32244,NZ_CP026949.1,3161403,62.7,62.7,64.9
303,Enterobacter asburiae (enterobacteria),NZ_CP011864.1,44645,NZ_CP011863.1,4713742,35.42,35.42,55.74
304,Enterobacter asburiae (enterobacteria),NZ_CP011865.1,13716,NZ_CP011863.1,4713742,52.41,52.41,55.74
305,Enterobacter asburiae (enterobacteria),NZ_CP011866.1,17562,NZ_CP011863.1,4713742,37.06,37.06,55.74
306,Enterobacter asburiae (enterobacteria),NZ_CP011867.1,16554,NZ_CP011863.1,4713742,53.87,53.87,55.74
307,Rhizobium leguminosarum (a-proteobacteria),NZ_CP030761.1,1234209,NZ_CP030760.1,4883137,59.99,59.99,60.87
308,Rhizobium leguminosarum (a-proteobacteria),NZ_CP030762.1,415988,NZ_CP030760.1,4883137,58.33,58.33,60.87
309,Rhizobium leguminosarum (a-proteobacteria),NZ_CP030763.1,771583,NZ_CP030760.1,4883137,60.5,60.5,60.87
310,Rhizobium leguminosarum (a-proteobacteria),NZ_CP030764.1,630306,NZ_CP030760.1,4883137,60.37,60.37,60.87
311,Bacillus cereus (firmicutes),NZ_CP024657.1,158531,NZ_CP024655.1,5561815,34.19,34.19,35.41
312,Bacillus cereus (firmicutes),NZ_CP024656.1,102005,NZ_CP024655.1,5561815,34.96,34.96,35.41
313,Bacillus cereus (firmicutes),NZ_CP024658.1,124659,NZ_CP024655.1,5561815,35.15,35.15,35.41
314,Vibrio alginolyticus (g-proteobacteria),NZ_CP017915.1,300425,NZ_CP017913.1,3468139,39.3,39.3,44.5
315,Bacillus anthracis (firmicutes),NZ_CP009327.1,181765,NZ_CP009328.1,5229969,32.53,32.53,35.38
316,Bacillus anthracis (firmicutes),NZ_CP009326.1,94892,NZ_CP009328.1,5229969,33.05,33.05,35.38
317,Proteus mirabilis (enterobacteria),NZ_CP029726.1,10024,NZ_CP029725.1,3980098,42.31,42.31,38.78
318,Lactococcus lactis subsp. cremoris (firmicutes),NZ_CP016747.1,51777,NZ_CP015899.1,2397042,35.02,35.02,36.01
319,Lactococcus lactis subsp. cremoris (firmicutes),NZ_CP016748.1,48280,NZ_CP015899.1,2397042,33.94,33.94,36.01
320,Lactococcus lactis subsp. cremoris (firmicutes),NZ_CP016749.1,30146,NZ_CP015899.1,2397042,35.4,35.4,36.01
321,Lactococcus lactis subsp. cremoris (firmicutes),NZ_CP016750.1,15360,NZ_CP015899.1,2397042,35.25,35.25,36.01
322,Lactococcus lactis subsp. cremoris (firmicutes),NZ_CP016751.1,11008,NZ_CP015899.1,2397042,31.95,31.95,36.01
323,Lactococcus lactis subsp. cremoris (firmicutes),NZ_CP016752.1,5329,NZ_CP015899.1,2397042,34.28,34.28,36.01
324,Lactococcus lactis subsp. cremoris (firmicutes),NZ_CP016746.1,193245,NZ_CP015899.1,2397042,33.83,33.83,36.01
325,Klebsiella pneumoniae subsp. pneumoniae KPNIH24 (enterobacteria),NZ_CP008798.1,85473,NZ_CP008797.1,5396164,55.58,55.58,57.36
326,Klebsiella pneumoniae subsp. pneumoniae KPNIH24 (enterobacteria),NZ_CP008799.1,58050,NZ_CP008797.1,5396164,48.55,48.55,57.36
327,Klebsiella pneumoniae subsp. pneumoniae KPNIH24 (enterobacteria),NZ_CP008800.1,194877,NZ_CP008797.1,5396164,52.47,52.47,57.36
328,Pseudomonas monteilii (g-proteobacteria),NZ_CP014061.1,60588,NZ_CP014062.1,5836684,59.69,59.69,61.86
329,Acinetobacter pittii (g-proteobacteria),NZ_CP015147.1,5562,NZ_CP015145.1,3935326,38.28,38.28,38.69
330,Acinetobacter pittii (g-proteobacteria),NZ_CP015148.1,5813,NZ_CP015145.1,3935326,31.89,31.89,38.69
331,Acinetobacter pittii (g-proteobacteria),NZ_CP015146.1,10498,NZ_CP015145.1,3935326,34.88,34.88,38.69
332,Vibrio parahaemolyticus (g-proteobacteria),NZ_CP013250.1,101545,NZ_CP013248.1,3358191,44.5,44.5,45.2
333,Chlamydia suis (chlamydias),NZ_LT821324.1,7494,NZ_LT821323.1,1075789,36.86,36.86,42.08
334,Staphylococcus aureus (firmicutes),NZ_CP007675.1,25025,NZ_CP007674.1,2839253,28.44,28.44,32.81
335,Escherichia coli O157:H7 (E. coli),NZ_CP012803.1,92739,NZ_CP012802.1,5332063,47.6,47.6,50.54
336,Escherichia coli O157:H7 (E. coli),NZ_CP012804.1,3306,NZ_CP012802.1,5332063,43.41,43.41,50.54
337,Burkholderia cepacia (b-proteobacteria),NZ_CP022081.2,204169,NZ_CP022083.2,3779906,62.2,62.2,66.49
338,Blattabacterium sp. (Blaberus giganteus) (CFB group bacteria),NC_017925.1,3423,NC_017924.1,629165,30.88,30.88,25.67
339,Staphylococcus capitis subsp. capitis (firmicutes),NZ_CP007602.1,59661,NZ_CP007601.1,2443604,30.31,30.31,33.0
340,Pseudomonas aeruginosa (g-proteobacteria),NZ_CP030914.1,85842,NZ_CP030913.1,6868832,60.1,60.1,66.05
341,Staphylococcus aureus subsp. aureus MSSA476 (firmicutes),NC_005951.1,20652,NC_002953.3,2799802,28.37,28.37,32.85
342,Lactobacillus casei (firmicutes),NZ_LS991422.1,27649,NZ_LS991421.1,3045762,45.05,45.05,48.03
343,Corynebacterium glutamicum (high GC Gram+),NZ_CP016336.1,4447,NZ_CP016335.1,3296500,53.41,53.41,54.29
344,Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023 (a-proteobacteria),NZ_CP003716.1,33915,NZ_CP003715.1,2012455,42.27,42.27,46.24
345,Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023 (a-proteobacteria),NZ_CP003717.1,30952,NZ_CP003715.1,2012455,43.68,43.68,46.24
346,Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023 (a-proteobacteria),NZ_CP003718.1,37058,NZ_CP003715.1,2012455,42.37,42.37,46.24
347,Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023 (a-proteobacteria),NZ_CP003719.1,32801,NZ_CP003715.1,2012455,43.3,43.3,46.24
348,Cyanothece sp. PCC 7424 (cyanobacteria),NC_011738.1,328635,NC_011729.1,5942652,37.09,37.09,38.61
349,Cyanothece sp. PCC 7424 (cyanobacteria),NC_011737.1,197705,NC_011729.1,5942652,37.37,37.37,38.61
350,Cyanothece sp. PCC 7424 (cyanobacteria),NC_011730.1,29239,NC_011729.1,5942652,40.67,40.67,38.61
351,Cyanothece sp. PCC 7424 (cyanobacteria),NC_011732.1,22636,NC_011729.1,5942652,39.37,39.37,38.61
352,Cyanothece sp. PCC 7424 (cyanobacteria),NC_011733.1,18083,NC_011729.1,5942652,38.17,38.17,38.61
353,Cyanothece sp. PCC 7424 (cyanobacteria),NC_011734.1,15219,NC_011729.1,5942652,40.2,40.2,38.61
354,Borrelia afzelii Tom3107 (spirochetes),NZ_CP009213.1,26561,NZ_CP009212.1,905861,25.91,25.91,28.32
355,Borrelia afzelii Tom3107 (spirochetes),NZ_CP009214.1,55230,NZ_CP009212.1,905861,27.04,27.04,28.32
356,Escherichia coli (E. coli),NZ_CP021733.1,114267,NZ_CP021732.1,4786118,51.66,51.66,50.73
357,Escherichia coli (E. coli),NZ_CP021734.1,85195,NZ_CP021732.1,4786118,53.74,53.74,50.73
358,Escherichia coli (E. coli),NZ_CP021735.1,31765,NZ_CP021732.1,4786118,41.33,41.33,50.73
359,Borrelia hermsii HS1 (spirochetes),NZ_CP014351.1,27881,NZ_CP014349.1,922500,29.96,29.96,29.83
360,Borrelia hermsii HS1 (spirochetes),NZ_CP015335.1,6540,NZ_CP014349.1,922500,28.21,28.21,29.83
361,Borrelia hermsii HS1 (spirochetes),NZ_CP014792.1,58207,NZ_CP014349.1,922500,30.55,30.55,29.83
362,Borrelia hermsii HS1 (spirochetes),NZ_CP014871.1,27074,NZ_CP014349.1,922500,31.24,31.24,29.83
363,Borrelia hermsii HS1 (spirochetes),NZ_CP015336.1,26961,NZ_CP014349.1,922500,31.42,31.42,29.83
364,Borrelia hermsii HS1 (spirochetes),NZ_CP015334.1,27366,NZ_CP014349.1,922500,32.74,32.74,29.83
365,Borrelia hermsii HS1 (spirochetes),NZ_CP015331.1,31123,NZ_CP014349.1,922500,30.91,30.91,29.83
366,Borrelia hermsii HS1 (spirochetes),NZ_CP015332.1,27618,NZ_CP014349.1,922500,32.82,32.82,29.83
367,Borrelia hermsii HS1 (spirochetes),NZ_CP015333.1,46648,NZ_CP014349.1,922500,30.97,30.97,29.83
368,Borrelia hermsii HS1 (spirochetes),NZ_CP014350.1,182863,NZ_CP014349.1,922500,31.1,31.1,29.83
369,Borrelia hermsii HS1 (spirochetes),NZ_CP015337.1,5225,NZ_CP014349.1,922500,32.84,32.84,29.83
370,Xylella fastidiosa subsp. fastidiosa GB514 (g-proteobacteria),NC_017561.1,26180,NC_017562.1,2491203,49.34,49.34,51.78
371,Acinetobacter baumannii (g-proteobacteria),NZ_CP024577.1,15113,NZ_CP024576.1,4052889,35.69,35.69,39.1
372,Acinetobacter baumannii (g-proteobacteria),NZ_CP024578.1,79335,NZ_CP024576.1,4052889,33.8,33.8,39.1
373,Escherichia coli (E. coli),NZ_CP017221.1,147225,NZ_CP017220.1,4901993,51.72,51.72,51.0
374,Escherichia coli (E. coli),NZ_CP017222.1,54159,NZ_CP017220.1,4901993,44.94,44.94,51.0
375,Escherichia coli (E. coli),NZ_CP017223.1,5828,NZ_CP017220.1,4901993,46.62,46.62,51.0
376,Escherichia coli (E. coli),NZ_CP017224.1,2454,NZ_CP017220.1,4901993,48.78,48.78,51.0
377,Escherichia coli (E. coli),NZ_CP017225.1,1934,NZ_CP017220.1,4901993,51.4,51.4,51.0
378,Staphylococcus aureus subsp. aureus ST228 (firmicutes),NC_020535.1,37285,NC_020566.1,2759457,28.66,28.66,32.85
379,Escherichia coli SE11 (E. coli),NC_011419.1,100021,NC_011415.1,4887515,50.46,50.46,50.8
380,Escherichia coli SE11 (E. coli),NC_011413.1,91158,NC_011415.1,4887515,50.24,50.24,50.8
381,Escherichia coli SE11 (E. coli),NC_011416.1,60555,NC_011415.1,4887515,48.59,48.59,50.8
382,Escherichia coli SE11 (E. coli),NC_011407.1,6929,NC_011415.1,4887515,48.0,48.0,50.8
383,Escherichia coli SE11 (E. coli),NC_011408.1,5366,NC_011415.1,4887515,46.22,46.22,50.8
384,Escherichia coli SE11 (E. coli),NC_011411.1,4082,NC_011415.1,4887515,49.44,49.44,50.8
385,Borrelia recurrentis A1 (spirochetes),NC_011246.1,123937,NC_011244.1,930981,26.1,26.1,27.52
386,Borrelia recurrentis A1 (spirochetes),NC_011252.1,22945,NC_011244.1,930981,25.74,25.74,27.52
387,Borrelia recurrentis A1 (spirochetes),NC_011253.1,33213,NC_011244.1,930981,29.54,29.54,27.52
388,Borrelia recurrentis A1 (spirochetes),NC_011255.1,35315,NC_011244.1,930981,27.27,27.27,27.52
389,Borrelia recurrentis A1 (spirochetes),NC_011258.1,36869,NC_011244.1,930981,29.4,29.4,27.52
390,Borrelia recurrentis A1 (spirochetes),NC_011260.1,52772,NC_011244.1,930981,28.97,28.97,27.52
391,Borrelia recurrentis A1 (spirochetes),NC_011263.1,6131,NC_011244.1,930981,30.92,30.92,27.52
392,Sphingomonas sp. FARSPH (a-proteobacteria),NZ_CP029986.1,265221,NZ_CP029985.1,3345474,64.77,64.77,68.02
393,Sphingomonas sp. FARSPH (a-proteobacteria),NZ_CP029987.1,78167,NZ_CP029985.1,3345474,62.96,62.96,68.02
394,Sphingomonas sp. FARSPH (a-proteobacteria),NZ_CP029988.1,72676,NZ_CP029985.1,3345474,61.59,61.59,68.02
395,Arthrobacter sp. Rue61a (high GC Gram+),NC_009453.1,112992,NC_018531.1,4736495,60.88,60.88,62.32
396,Arthrobacter sp. Rue61a (high GC Gram+),NC_018532.1,231551,NC_018531.1,4736495,61.51,61.51,62.32
397,Sinorhizobium medicae WSM419 (a-proteobacteria),NC_009620.1,1570951,NC_009636.1,3781904,61.46,61.46,61.5
398,Sinorhizobium medicae WSM419 (a-proteobacteria),NC_009621.1,1245408,NC_009636.1,3781904,59.89,59.89,61.5
399,Sinorhizobium medicae WSM419 (a-proteobacteria),NC_009622.1,219313,NC_009636.1,3781904,60.06,60.06,61.5
400,Enterococcus faecium (firmicutes),NZ_CP033042.1,78861,NZ_CP033041.1,2724445,35.2,35.2,38.48
401,Desulfovibrio vulgaris DP4 (d-proteobacteria),NC_008741.1,198504,NC_008751.1,3462887,65.69,65.69,63.01
402,Streptomyces sp. PAMC 26508 (high GC Gram+),NC_021056.1,104048,NC_021055.1,7526197,68.52,68.52,71.07
403,Lactococcus lactis subsp. lactis bv. diacetylactis (firmicutes),NZ_CP020605.1,8277,NZ_CP020604.1,2428349,34.82,34.82,35.29
404,Lactococcus lactis subsp. lactis bv. diacetylactis (firmicutes),NZ_CP020606.1,15218,NZ_CP020604.1,2428349,34.08,34.08,35.29
405,Lactococcus lactis subsp. lactis bv. diacetylactis (firmicutes),NZ_CP020607.1,4242,NZ_CP020604.1,2428349,35.62,35.62,35.29
406,Lactococcus lactis subsp. lactis bv. diacetylactis (firmicutes),NZ_CP020608.1,12005,NZ_CP020604.1,2428349,33.51,33.51,35.29
407,Lactococcus lactis subsp. lactis bv. diacetylactis (firmicutes),NZ_CP020609.1,7521,NZ_CP020604.1,2428349,33.57,33.57,35.29
408,Lactococcus lactis subsp. lactis bv. diacetylactis (firmicutes),NZ_CP020610.1,3363,NZ_CP020604.1,2428349,33.75,33.75,35.29
409,Lactococcus lactis subsp. lactis bv. diacetylactis (firmicutes),NZ_CP020611.1,30274,NZ_CP020604.1,2428349,35.17,35.17,35.29
410,Escherichia coli (E. coli),NZ_CP010144.1,114159,NZ_CP010143.1,4821305,46.51,46.51,50.77
411,Staphylococcus aureus (firmicutes),NZ_CP015818.1,35415,NZ_CP015817.1,2798022,30.42,30.42,32.89
412,Bacillus cereus biovar anthracis str. CI (firmicutes),NC_014333.1,14219,NC_014335.1,5196054,37.91,37.91,35.38
413,Bacillus cereus biovar anthracis str. CI (firmicutes),NC_014331.1,181907,NC_014335.1,5196054,32.54,32.54,35.38
414,Bacillus cereus biovar anthracis str. CI (firmicutes),NC_014332.1,94469,NC_014335.1,5196054,33.09,33.09,35.38
415,Bacillus velezensis (firmicutes),NZ_LN999830.1,8138,NZ_LN999829.1,3854619,40.26,40.26,46.71
416,Xanthomonas fuscans subsp. aurantifolii (g-proteobacteria),NZ_CP012003.1,35521,NZ_CP012002.1,4926567,60.55,60.55,64.84
417,Escherichia coli (E. coli),NZ_CP019028.1,147346,NZ_CP019029.1,5262974,51.09,51.09,50.52
418,Escherichia coli (E. coli),NZ_CP019027.1,109344,NZ_CP019029.1,5262974,46.08,46.08,50.52
419,Escherichia coli (E. coli),NZ_CP019025.1,6647,NZ_CP019029.1,5262974,48.5,48.5,50.52
420,Escherichia coli (E. coli),NZ_CP019024.1,4063,NZ_CP019029.1,5262974,51.49,51.49,50.52
421,Escherichia coli (E. coli),NZ_CP019023.1,3256,NZ_CP019029.1,5262974,47.27,47.27,50.52
422,Escherichia coli (E. coli),NZ_CP019022.1,3087,NZ_CP019029.1,5262974,48.56,48.56,50.52
423,Escherichia coli (E. coli),NZ_CP019021.1,1459,NZ_CP019029.1,5262974,50.93,50.93,50.52
424,Escherichia coli (E. coli),NZ_CP019026.1,59373,NZ_CP019029.1,5262974,52.11,52.11,50.52
